lun oct  8 12:52:00 -05 2018
/dev/mapper/biodisk10-vol10   10T  9,3T  207G  98% /bioinformatica6
/dev/mapper/biodisk2-vol2     10T  7,7T  1,8T  82% /biodatatmp
/dev/mapper/biodisk8-vol8     10T  8,7T  786G  92% /biodatatmp3
tmpfs                        303G   28K  303G   1% /run/user/108
tmpfs                        303G   88K  303G   1% /run/user/1003
tmpfs                        303G   24K  303G   1% /run/user/1006
lun mar  4 08:15:02 -05 2019
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  1,5G  301G   1% /run
/dev/sda3                    265G  155G   97G  62% /
tmpfs                        1,5T   64M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk4-vol4   1008G  424G  534G  45% /biosamba
/dev/mapper/biodisk1-vol1     10T  8,9T  596G  94% /biodata2
/dev/mapper/biodisk7-vol7     10T  2,1T  7,4T  22% /biodatatmp2
/dev/mapper/biodisk11-vol11   10T  7,4T  2,2T  78% /biotemp3
/dev/mapper/biodisk9-vol9     10T  8,6T  845G  92% /biodata4
/dev/mapper/biodisk6-vol6     10T  9,1T  402G  96% /biodata1
/dev/mapper/biodisk10-vol10   10T  9,3T  207G  98% /bioinformatica6
/dev/mapper/biodisk2-vol2     10T  7,7T  1,8T  82% /biodatatmp
/dev/mapper/biodisk8-vol8     10T  8,7T  786G  92% /biodatatmp3
tmpfs                        303G   32K  303G   1% /run/user/108
tmpfs                        303G   92K  303G   1% /run/user/1003
tmpfs                        303G   68K  303G   1% /run/user/1006
lun mar 11 08:15:01 -05 2019
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  1,8G  301G   1% /run
/dev/sda3                    265G  168G   84G  67% /
tmpfs                        1,5T   90M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk4-vol4   1008G  424G  534G  45% /biosamba
